OID_,POINTID,GRID_CODE
1286,1286,45
5742,5742,44
5623,5623,44
6952,6952,44
6953,6953,44
7028,7028,44
7029,7029,44
7040,7040,44
7119,7119,44
7120,7120,44
7138,7138,44
7210,7210,44
7211,7211,44
7228,7228,44
7229,7229,44
7305,7305,44
7306,7306,44
7307,7307,44
7315,7315,44
7392,7392,44
7400,7400,44
7476,7476,44
4740,4740,44
6059,6059,44
2979,2979,44
7046,7046,44
6719,6719,44
2843,2843,44
2244,2244,44
4964,4964,44
3780,3780,44
2121,2121,44
7048,7048,44
5244,5244,44
5669,5669,44
1778,1778,44
5184,5184,44
4179,4179,44
2333,2333,44
2456,2456,44
2990,2990,44
5624,5624,44
3195,3195,44
3202,3202,44
3336,3336,44
3470,3470,44
3604,3604,44
3738,3738,44
3872,3872,44
4006,4006,44
5307,5307,44
5661,5661,44
6387,6387,44
6720,6720,44
6957,6957,44
1534,1534,44
1804,1804,44
1976,1976,43
2594,2594,43
4672,4672,43
6941,6941,43
6961,6961,43
6940,6940,43
2012,2012,43
2013,2013,43
2014,2014,43
4835,4835,43
4966,4966,43
5118,5118,43
6175,6175,43
1717,1717,43
1916,1916,43
4803,4803,43
4311,4311,43
4706,4706,43
1817,1817,43
1070,1070,43
2959,2959,43
6269,6269,43
1454,1454,43
1539,1539,43
1719,1719,43
1718,1718,43
6268,6268,43
2485,2485,43
5432,5432,42
1295,1295,42
1761,1761,42
2716,2716,42
1665,1665,42
4991,4991,42
6558,6558,42
6640,6640,42
1210,1210,42
4292,4292,42
2842,2842,42
7468,7468,42
6474,6474,42
5000,5000,42
2122,2122,42
2599,2599,42
2471,2471,42
4709,4709,42
5097,5097,42
2123,2123,42
5353,5353,42
5342,5342,42
5347,5347,42
4855,4855,42
4986,4986,42
4593,4593,42
4723,4723,42
4864,4864,42
1069,1069,42
4276,4276,42
6556,6556,41
7542,7542,41
1691,1691,41
1797,1797,41
1896,1896,41
3747,3747,41
3748,3748,41
3749,3749,41
3750,3750,41
3751,3751,41
3752,3752,41
3878,3878,41
3879,3879,41
3880,3880,41
3881,3881,41
3882,3882,41
3883,3883,41
3884,3884,41
3885,3885,41
3886,3886,41
3887,3887,41
4012,4012,41
4013,4013,41
4014,4014,41
4015,4015,41
4016,4016,41
4017,4017,41
4018,4018,41
4019,4019,41
4020,4020,41
4021,4021,41
4147,4147,41
4148,4148,41
4149,4149,41
4150,4150,41
4414,4414,41
4543,4543,41
4545,4545,41
5311,5311,41
5312,5312,41
5313,5313,41
5434,5434,41
5435,5435,41
5554,5554,41
5555,5555,41
5672,5672,41
5673,5673,41
5791,5791,41
5792,5792,41
5908,5908,41
5909,5909,41
6024,6024,41
6025,6025,41
6141,6141,41
6144,6144,41
5327,5327,41
6798,6798,41
4563,4563,41
5081,5081,41
5082,5082,41
5943,5943,41
6391,6391,41
4609,4609,41
4861,4861,41
4541,4541,41
5368,5368,41
6638,6638,41
3194,3194,41
3196,3196,41
4139,4139,41
4391,4391,41
4407,4407,41
5182,5182,41
5430,5430,41
5543,5543,41
5779,5779,41
6637,6637,41
4860,4860,41
1137,1137,41
1284,1284,41
2245,2245,41
1604,1604,41
5467,5467,41
1514,1514,41
1515,1515,41
1209,1209,41
4602,4602,41
4462,4462,41
4733,4733,41
4329,4329,41
7611,7611,41
5046,5046,41
6386,6386,41
5620,5620,41
2002,2002,41
4196,4196,41
6473,6473,41
4620,4620,41
2825,2825,41
2958,2958,41
2364,2364,41
461,461,41
529,529,41
597,597,41
665,665,41
791,791,41
857,857,41
922,922,41
923,923,41
990,990,41
991,991,41
1054,1054,41
1122,1122,41
1123,1123,41
1192,1192,41
1193,1193,41
1194,1194,41
1195,1195,41
1196,1196,41
1266,1266,41
1267,1267,41
1268,1268,41
1269,1269,41
1270,1270,41
1345,1345,41
1346,1346,41
1347,1347,41
1348,1348,41
1349,1349,41
1427,1427,41
1428,1428,41
1429,1429,41
1430,1430,41
4350,4350,41
4063,4063,41
6298,6298,41
3949,3949,40
3124,3124,40
4083,4083,40
2846,2846,40
5308,5308,40
4935,4935,40
4349,4349,40
4216,4216,40
5117,5117,40
2488,2488,40
5970,5970,40
6305,6305,40
5854,5854,40
4348,4348,40
1362,1362,40
2115,2115,40
5369,5369,40
1328,1328,40
1333,1333,40
1407,1407,40
1408,1408,40
1409,1409,40
1410,1410,40
1411,1411,40
1412,1412,40
1413,1413,40
1414,1414,40
1491,1491,40
1492,1492,40
1493,1493,40
1494,1494,40
1495,1495,40
1496,1496,40
1497,1497,40
1498,1498,40
1499,1499,40
1580,1580,40
1581,1581,40
1582,1582,40
1583,1583,40
1584,1584,40
1585,1585,40
1586,1586,40
1587,1587,40
1666,1666,40
1667,1667,40
1668,1668,40
1669,1669,40
1670,1670,40
1671,1671,40
1672,1672,40
1673,1673,40
1674,1674,40
1762,1762,40
1763,1763,40
1764,1764,40
