OID_,POINTID,GRID_CODE
7811,7811,34
5048,5048,34
4102,4102,34
6786,6786,34
2929,2929,34
4354,4354,34
3601,3601,34
5549,5549,34
7128,7128,34
1984,1984,34
4798,4798,34
4295,4295,34
7046,7046,34
5306,5306,34
3132,3132,34
3150,3150,34
5216,5216,34
4235,4235,34
3071,3071,34
6794,6794,34
3903,3903,34
6117,6117,34
6718,6718,34
7233,7233,34
4749,4749,34
3154,3154,34
2512,2512,34
920,920,34
2556,2556,34
921,921,34
7376,7376,34
5262,5262,34
2392,2392,33
3899,3899,33
2458,2458,33
5764,5764,33
3399,3399,33
2459,2459,33
7519,7519,33
5058,5058,33
5429,5429,33
3157,3157,33
1429,1429,33
6963,6963,33
3602,3602,33
3560,3560,33
3764,3764,33
4096,4096,33
3562,3562,33
4098,4098,33
4616,4616,33
5274,5274,33
2136,2136,33
3566,3566,33
5060,5060,33
3014,3014,33
3331,3331,33
1985,1985,33
3432,3432,33
5025,5025,33
5543,5543,33
5184,5184,33
7231,7231,33
3219,3219,33
3289,3289,33
4221,4221,33
5271,5271,33
4219,4219,33
5505,5505,33
3298,3298,33
3131,3131,33
3148,3148,33
4704,4704,33
5215,5215,33
5887,5887,33
5186,5186,33
4637,4637,33
2319,2319,33
3270,3270,33
3156,3156,33
3133,3133,33
5395,5395,33
2802,2802,32
5307,5307,32
2388,2388,32
4750,4750,32
4803,4803,32
4159,4159,32
3898,3898,32
2752,2752,32
4766,4766,32
4768,4768,32
3909,3909,32
1885,1885,32
4663,4663,32
4617,4617,32
6787,6787,32
6785,6785,32
7290,7290,32
4664,4664,32
7127,7127,32
4898,4898,32
7129,7129,32
5214,5214,32
2669,2669,32
5146,5146,32
2140,2140,32
3904,3904,32
3465,3465,32
2545,2545,32
4668,4668,32
2442,2442,32
4439,4439,32
3353,3353,32
3908,3908,32
2555,2555,32
2268,2268,32
5150,5150,32
2389,2389,32
5422,5422,32
3700,3700,32
2951,2951,31
4751,4751,31
3805,3805,31
4792,4792,31
6872,6872,31
1432,1432,31
4881,4881,31
4665,4665,31
4501,4501,31
3463,3463,31
3558,3558,31
3539,3539,31
3967,3967,31
4037,4037,31
6719,6719,31
4498,4498,31
4629,4629,31
4760,4760,31
4761,4761,31
4891,4891,31
4892,4892,31
5019,5019,31
4094,4094,31
7018,7018,31
7380,7380,31
2691,2691,31
2318,2318,31
3085,3085,31
2393,2393,31
4620,4620,31
4293,4293,31
5994,5994,31
3290,3290,31
4296,4296,31
7019,7019,31
7445,7445,31
2137,2137,31
3534,3534,31
3017,3017,31
6864,6864,31
3559,3559,31
4095,4095,31
2336,2336,31
4934,4934,31
1581,1581,31
4169,4169,31
4375,4375,31
1516,1516,31
1886,1886,30
2880,2880,30
4283,4283,30
2315,2315,30
3730,3730,30
1880,1880,30
2939,2939,30
5507,5507,30
183,183,30
2625,2625,30
5651,5651,30
1326,1326,30
4873,4873,30
4618,4618,30
6863,6863,30
5021,5021,30
2668,2668,30
4615,4615,30
2572,2572,30
3151,3151,30
4351,4351,30
5151,5151,30
7656,7656,30
4040,4040,30
4309,4309,30
5092,5092,30
3487,3487,30
2434,2434,30
1249,1249,30
3268,3268,30
3000,3000,30
1247,1247,30
3002,3002,30
1407,1407,30
5728,5728,30
2869,2869,30
2269,2269,30
3374,3374,30
6720,6720,30
4531,4531,30
3535,3535,30
3423,3423,30
2696,2696,30
4101,4101,30
3563,3563,30
5385,5385,30
4368,4368,30
444,444,30
511,511,30
514,514,30
4099,4099,30
4396,4396,30
4882,4882,30
5254,5254,30
5652,5652,30
3159,3159,30
2817,2817,30
3431,3431,30
7052,7052,30
7230,7230,30
6062,6062,30
2314,2314,30
3297,3297,30
3565,3565,30
5138,5138,30
3669,3669,30
3863,3863,30
4529,4529,30
2139,2139,30
4490,4490,30
1174,1174,30
217,217,30
6496,6496,30
4621,4621,30
3699,3699,30
4143,4143,30
2882,2882,30
6414,6414,30
6661,6661,30
6743,6743,30
2824,2824,29
5845,5845,29
3603,3603,29
4830,4830,29
5553,5553,29
4151,4151,29
6243,6243,29
3777,3777,29
6659,6659,29
2667,2667,29
5022,5022,29
1514,1514,29
6741,6741,29
5396,5396,29
2518,2518,29
2198,2198,29
4998,4998,29
6033,6033,29
6278,6278,29
2554,2554,29
5380,5380,29
4506,4506,29
2570,2570,29
5847,5847,29
6908,6908,29
3996,3996,29
5173,5173,29
3072,3072,29
5650,5650,29
5250,5250,29
5948,5948,29
6151,6151,29
6819,6819,29
7237,7237,29
7407,7407,29
3329,3329,29
2438,2438,29
4142,4142,29
2753,2753,29
581,581,29
5451,5451,29
5944,5944,29
5962,5962,29
7320,7320,29
4039,4039,29
1281,1281,29
4011,4011,29
4270,4270,29
5609,5609,29
5918,5918,29
7144,7144,29
7362,7362,29
7439,7439,29
4175,4175,29
5829,5829,29
5430,5430,29
6708,6708,29
4443,4443,29
233,233,29
3875,3875,29
4140,4140,29
6313,6313,29
6799,6799,29
270,270,29
3872,3872,29
3873,3873,29
4306,4306,29
5803,5803,29
5920,5920,29
6081,6081,29
7276,7276,29
4540,4540,29
1149,1149,29
1151,1151,29
2127,2127,29
5569,5569,29
6196,6196,29
6716,6716,29
357,357,29
1360,1360,29
1931,1931,29
2566,2566,29
5337,5337,29
5688,5688,29
6635,6635,29
3466,3466,29
305,305,29
651,651,29
1137,1137,29
1209,1209,29
1284,1284,29
1690,1690,29
1833,1833,29
2030,2030,29
5461,5461,29
5488,5488,29
5686,5686,29
5942,5942,29
6522,6522,29
6633,6633,29
5275,5275,29
3264,3264,29
414,414,29
1037,1037,29
1079,1079,29
1104,1104,29
1212,1212,29
1251,1251,29
2146,2146,29
2978,2978,29
3690,3690,29
5574,5574,29
5607,5607,29
6079,6079,29
6552,6552,29
1070,1070,29
2015,2015,29
3605,3605,29
4138,4138,29
5139,5139,29
5238,5238,29
5362,5362,29
5364,5364,29
5486,5486,29
6057,6057,29
4488,4488,29
717,717,29
952,952,29
1140,1140,29
1357,1357,29
2446,2446,29
5236,5236,29
5940,5940,29
6118,6118,29
7218,7218,29
7711,7711,29
614,614,29
